,op_index,ops_names,op_vals
0,510,IIIXIXIIIXIX,-0.1741
1,382,IXIIIXIXIIIX,-0.1741
2,72,IIIIIIXIIIII,0.2898
3,90,IIIIIIIIXIII,0.2898
4,364,IIIIIIIIIIXI,0.2898
5,42,XIIIIIIIIIII,0.2898
6,62,IIIIXIIIIIII,0.2898
7,52,IIXIIIIIIIII,0.2898
8,36,IIIIIIIIIIIZ,-0.5
9,1,IZIIIIIIIIII,-0.5
10,25,IIIIIIIIIZII,-0.5
11,14,IIIIIIIZIIII,-0.5
12,7,IIIIIZIIIIII,-0.5
13,4,IIIZIIIIIIII,-0.5
14,3,IIZIIIIIIIII,-1.15
15,0,ZIIIIIIIIIII,-1.15
16,6,IIIIZIIIIIII,-1.15
17,20,IIIIIIIIZIII,-1.15
18,31,IIIIIIIIIIZI,-1.15
19,9,IIIIIIZIIIII,-1.15
